web-scraper-order,web-scraper-start-url,conf_oot,conf_oot-href,confid,conf-name,conf-desc,conf-image-src,conf-url,conf-url-href,event_url,event_url-href
"1542718975-88","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","PLoP","Pattern Languages of Programs","Pattern Languages of Programs (PLoP™) conference is a premier event for pattern authors and pattern enthusiasts to gather, discuss and learn more about patterns and software development.



The purpose of PLoP is to promote development of pattern languages, primarily about aspects of software: design and programming, testing, software architecture, user interface design, domain modelling, and software processes. Patterns and pattern languages for domains outside software are also welcome.","https://portalparts.acm.org/event_logos/RE129.jpg","","http://www.hillside.net/plop","Pattern Languages of Programs","https://dl.acm.org/event.cfm?id=RE129"
"1542718975-113","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","VRST","Virtual Reality Software and Technology","The ACM Symposium on Virtual Reality Software and Technology (VRST) is an international forum for the exchange of experience and knowledge among researchers and developers concerned with virtual reality software and technology. VRST will provide an opportunity for VR researchers to interact, share new results, show live demonstrations of their work, and discuss emerging directions for the field.","https://portalparts.acm.org/event_logos/RE137.jpg","","https://www.comp.polyu.edu.hk/conference/vrst2010/","Virtual Reality Software and Technology","https://dl.acm.org/event.cfm?id=RE137"
"1542718975-56","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ICSE","International Conference on Software Engineering","ICSE, the International Conference on Software Engineering,® is the premier software engineering conference, providing a forum for researchers, practitioners and educators to present and discuss the most recent innovations, trends, experiences and concerns in the field of software engineering. Note that ICSE: International Conference on Software Engineering® is a registered trademark.


On this web site you can find information about the ICSE conference series as well as useful information for organizing a future ICSE conference.","https://portalparts.acm.org/event_logos/402/402.jpg","","http://2011.icse-conferences.org/","International Conference on Software Engineering","https://dl.acm.org/event.cfm?id=RE228"
"1542718975-48","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","I3D","Symposium on Interactive 3D Graphics and Games","ACM I3D is the leading-edge conference for real-time 3D computer graphics and human interaction. We invite you to submit papers across the entire range of topics in interactive 3D graphics.","https://portalparts.acm.org/event_logos/RE299.jpg","","http://graphics.cs.umass.edu/i3d2011/program.php","Symposium on Interactive 3D Graphics and Games","https://dl.acm.org/event.cfm?id=RE299"
"1542718975-13","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","CF","Computing Frontiers Conference","The increasing complexity and performance needs of current and future applications require novel and innovative approaches for design of various types of computing systems: embedded, mobile, high-performance, and more. Boundaries between state of the art and revolutionary innovation constitute the computing frontiers that must be pushed forward to provide the computational support required for the advancement of science and engineering. This conference focuses on a wide spectrum of advanced technologies and radically new solutions relevant to development of computer systems and aims to foster communication among scientists and engineers to achieve this.


Authors are invited to submit full papers and poster-papers on all areas of innovative computing systems that extend the current frontiers of computer science and engineering. Submissions are sought on innovations in theory, methodologies, technologies, and implementation of advanced computer systems and focusing on computi","https://portalparts.acm.org/event_logos/274/274.jpg","","http://www.computingfrontiers.org/2011/","Computing Frontiers Conference","https://dl.acm.org/event.cfm?id=RE159"
"1542718975-26","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","DOC","Design of Communication","SIGDOC focuses on the design of communication as it is taught, practiced, researched, and conceptualized in various fields, including technical communication, software engineering, information architecture, usability, and areas of design such as graphic, user interface, and Web design.
Members of SIGDOC include information design professionals, educators, software engineers, researchers, Web designers, system developers, usability specialists, computer scientists, user interface designers, and information technology specialists.","https://portalparts.acm.org/event_logos/297/297.jpg","","http://www.sigdoc.org/2010/","Design of Communication","https://dl.acm.org/event.cfm?id=RE170"
"1542718975-32","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ESWEEK","Embedded Systems Week","Embedded Systems Week is an exciting event which brings together conferences, tutorials, and workshops centered on various aspects of embedded systems research and development. Three leading conferences in the area - CASES, CODES+ISSS, and EMSOFT - will take place at the same time and location, allowing attendees to benefit from a wide range of topics covered by these conferences and their associated tutorials and workshops.","https://portalparts.acm.org/event_logos/N15/N15.jpg","","http://www.esweek.org/","Embedded Systems Week","https://dl.acm.org/event.cfm?id=RE345"
"1542718975-30","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","EICS","Engineering Interactive Computing Systems","EICS is an international conference devoted to the engineering of usable and effective interactive computing systems. Systems of interest include traditional workstation-based interactive systems, new and emerging modalities (e.g., gesture), entertaining applications (e.g., mobile and ubiquitous games) and development methods (e.g., extreme programming).


EICS focuses on methods and techniques, and the tools that support them, for designing and developing interactive systems. It brings together people who study or practice the engineering of interactive systems, drawing from the HCI, Software Engineering, Requirements Engineering, CSCW, Ubiquitous / Pervasive Systems and Game Development communities.","https://portalparts.acm.org/event_logos/RE136.jpg","","http://eics-conference.org/2010/index.php?content=1","Engineering Interactive Computing Systems","https://dl.acm.org/event.cfm?id=RE136"
"1542718975-74","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","MICRO","Microarchitecture","MICRO is the premier forum for presenting, discussing and debating new and innovative microarchitecture ideas and techniques for advanced computing and communication systems. The goal of this symposium is to bring together researchers in fields related to processor architecture, compilers, and systems, for technical exchange on traditional MICRO topics as well as new emerging research areas. Historically, the MICRO community has enjoyed having close interaction between academic researchers and industrial designers.","https://portalparts.acm.org/event_logos/366/366.jpg","","http://www.sigmicro.org/","Microarchitecture","https://dl.acm.org/event.cfm?id=RE203"
"1542718975-4","https://dl.acm.org/","Conference Listing","https://dl.acm.org/events.cfm","ASE","Automated Software Engineering","The ASE conference has become one of the world's premier Software Engineering venues. Software engineering is concerned with the analysis, design, implementation, testing, and maintenance of large software systems. Automated software engineering focuses on how to automate or partially automate these tasks to achieve significant improvements in quality and productivity.


ASE encourages the submission of technical research papers, experience reports, demonstrations, and short papers about emerging topics. In addition it features a doctoral symposium, several associated workshops, and a number of in-depth tutorials. The proceedings will be published in the ACM International Proceedings Series. Authors of selected papers will be invited for a special issue of the Journal of Automated Software Engineering, published by Springer.","https://portalparts.acm.org/event_logos/re381.jpg","","http://soft.vub.ac.be/ase2010/","Automated Software Engineering","https://dl.acm.org/event.cfm?id=RE381"
